TOTAL REGISTERED VOTERS IN EACH POLLING UNIT IN KATSINA STATE AS AT 25/05/2022,,,,,,
,,,,,,
S/N,STATE,LGA,RA,PU,DELIM,TOTAL
1021,KATSINA,BINDAWA,GAIWA,MARAU - GAMJI UNG. SANDA,20-05-11-003,368
1022,KATSINA,BINDAWA,GAIWA,MAKERA - FAMFO,20-05-11-004,893
1023,KATSINA,BINDAWA,GAIWA,MAGAMI/YANSAURA - KUKAR MAGAMI,20-05-11-005,710
1024,KATSINA,BINDAWA,GAIWA,GAIWA KURMI - KALGON GAIWA KURMI,20-05-11-006,472
1025,KATSINA,BINDAWA,GAIWA,BADALLE GARYAL - OPEN SPACE,20-05-11-007,338
1026,KATSINA,BINDAWA,GAIWA,TAKA TSABA/SANKASA - TAKATSABA,20-05-11-008,334
1027,KATSINA,BINDAWA,GAIWA,MAGAMI ISLAMIYA/ISLAMIYA,20-05-11-009,625
1028,KATSINA,BINDAWA,GAIWA,WAILARE PRIMARY SCHOOL,20-05-11-010,11
1029,KATSINA,CHARANCHI,CHARANCHI,K/GIDAN MAI UNGUWA TANIMU,20-06-01-001,917
1030,KATSINA,CHARANCHI,CHARANCHI,K/GIDAN MAI UNGUWA T.,20-06-01-002,1339
1031,KATSINA,CHARANCHI,CHARANCHI,K/GIDAN MAI UNGUWA U/KWANA,20-06-01-003,1084
1032,KATSINA,CHARANCHI,CHARANCHI,PRIMARY SCHOOL WAJJE I,20-06-01-004,1757
1033,KATSINA,CHARANCHI,CHARANCHI,HEALTH CENTRE. TSASKI,20-06-01-005,793
1034,KATSINA,CHARANCHI,CHARANCHI,KANKAWA,20-06-01-006,1198
1035,KATSINA,CHARANCHI,CHARANCHI,PRIMARY SCHOOL T/ DOLE 'A',20-06-01-007,374
1036,KATSINA,CHARANCHI,CHARANCHI,PRIMARY SCHOOL  / T/ DOLE 'B',20-06-01-008,491
1037,KATSINA,CHARANCHI,CHARANCHI,PRIMARY SCHOOL HANAYE,20-06-01-009,794
1038,KATSINA,CHARANCHI,CHARANCHI,OPEN SPACE K/YAMMA,20-06-01-010,945
1039,KATSINA,CHARANCHI,CHARANCHI,K/GIDAN MAI UNGUWA BINONI,20-06-01-011,599
1040,KATSINA,CHARANCHI,CHARANCHI,K/GIDAN MAI UNGUWA KWANA,20-06-01-012,1001
1041,KATSINA,CHARANCHI,CHARANCHI,PRIMARY SCHOOL WAJE II,20-06-01-013,984
1042,KATSINA,CHARANCHI,CHARANCHI,WOMEN CENTRE TASHAR DUTSI,20-06-01-014,1208
1043,KATSINA,CHARANCHI,CHARANCHI,PRIMARY SCHOOL MAZAGA,20-06-01-015,755
1044,KATSINA,CHARANCHI,CHARANCHI,PRIMARY SCHOOL KEKERIYA P.S,20-06-01-016,580
1045,KATSINA,CHARANCHI,CHARANCHI,T.V VIEWING CENTERE WALAWA,20-06-01-017,1654
1046,KATSINA,CHARANCHI,CHARANCHI,MUS'AB BN UMAR ISLAMIC SCH TUKANAWA GABAS,20-06-01-018,17
1047,KATSINA,CHARANCHI,CHARANCHI,KOFAR GIDAN HAKIMI (SARKIN SHANU),20-06-01-019,53
1048,KATSINA,CHARANCHI,CHARANCHI,BAKIN MASALLACI UNG. FULANI,20-06-01-020,21
1049,KATSINA,CHARANCHI,CHARANCHI,PILOT PRI.SCH. MAKARA HUTA,20-06-01-021,16
1050,KATSINA,CHARANCHI,CHARANCHI,MODEL PRIMARY SCHOOL I,20-06-01-022,127
1051,KATSINA,CHARANCHI,CHARANCHI,FILIN KWALLO I,20-06-01-023,07
1052,KATSINA,CHARANCHI,CHARANCHI,FILIN KWALLO II,20-06-01-024,01
1053,KATSINA,CHARANCHI,CHARANCHI,BEBEJI PRIMARY SCHOOL,20-06-01-025,02
1054,KATSINA,CHARANCHI,CHARANCHI,K/GIDAN ALH. HAMZA KANKAWA,20-06-01-026,58
1055,KATSINA,CHARANCHI,CHARANCHI,PRIMARY SCHOOL HANAYE II,20-06-01-027,03
1056,KATSINA,CHARANCHI,CHARANCHI,GURIN MUTARI MAI FACI KWAKWARA,20-06-01-028,59
1057,KATSINA,CHARANCHI,CHARANCHI,BAKIN COURT S/ABUJA,20-06-01-029,44
1058,KATSINA,CHARANCHI,CHARANCHI,MAYANKA KASUWA,20-06-01-030,01
1059,KATSINA,CHARANCHI,CHARANCHI,JIBWIS CENTRAL MOSQUE I,20-06-01-031,62
1060,KATSINA,CHARANCHI,CHARANCHI,KOFAR GIDAN MAI GARI S/LAYI,20-06-01-032,37
1061,KATSINA,CHARANCHI,CHARANCHI,JIBWIS MOSQUE II WALAWA,20-06-01-033,143
1062,KATSINA,CHARANCHI,SAFANA,DAMAKWARO A OPEN SPACE,20-06-02-001,744
1063,KATSINA,CHARANCHI,SAFANA,KUKI KG / MAI UNG.,20-06-02-002,379
1064,KATSINA,CHARANCHI,SAFANA,BAJINAWA PRI.SCHOOL,20-06-02-003,1045
1065,KATSINA,CHARANCHI,SAFANA,SAFANA GABAS I PRI.SCHOOL,20-06-02-004,769
1066,KATSINA,CHARANCHI,SAFANA,SAFANA YAMMA PRI. SCHOOL,20-06-02-005,607
1067,KATSINA,CHARANCHI,SAFANA,SAFANA GABAS II HEALTH CENTER,20-06-02-006,740
1068,KATSINA,CHARANCHI,SAFANA,"DAMAKWARO B, K/G MAI UNGUWA",20-06-02-007,646
1069,KATSINA,CHARANCHI,SAFANA,KOFAR GIDAN M/UNG JUME,20-06-02-008,63
1070,KATSINA,CHARANCHI,SAFANA,SAFANA GABAS PRI SCHOOL II,20-06-02-009,67
1071,KATSINA,CHARANCHI,RADDA,BANOMA PRI.SCHOOL,20-06-03-001,393
1072,KATSINA,CHARANCHI,RADDA,DAN MAIGARI K/G MAI GARI,20-06-03-002,754
1073,KATSINA,CHARANCHI,RADDA,DAR MASAI OPEN SPACE,20-06-03-003,460
1074,KATSINA,CHARANCHI,RADDA,KADANYA I K/G MAI UNGUWA,20-06-03-004,553
1075,KATSINA,CHARANCHI,RADDA,BILLIRI OPEN SPACE,20-06-03-005,465
1076,KATSINA,CHARANCHI,RADDA,FARFARU K/G MAI UNGUWA,20-06-03-006,647
1077,KATSINA,CHARANCHI,RADDA,UNGUWAR DOGO OPEN SPACE,20-06-03-007,944
1078,KATSINA,CHARANCHI,RADDA,ZANA DANSHURWA K/G MAI UNGUWA,20-06-03-008,418
1079,KATSINA,CHARANCHI,RADDA,SABON GARI K/G MAI UNGUWA,20-06-03-009,799
1080,KATSINA,CHARANCHI,RADDA,KATUKA PRI.SCHOOL,20-06-03-010,770
1081,KATSINA,CHARANCHI,RADDA,DANGALADIMA HEALTH CENTRE,20-06-03-011,602
1082,KATSINA,CHARANCHI,RADDA,KADANYA II PRI. SCHOOL,20-06-03-012,540
1083,KATSINA,CHARANCHI,RADDA,"ISLAMIYYA, UNG. DOGO",20-06-03-013,02
1084,KATSINA,CHARANCHI,RADDA,KOFAR GIDAN M/GARI RADDA,20-06-03-014,20
1085,KATSINA,CHARANCHI,RADDA,KATUKA PRI.SCH II,20-06-03-015,15
1086,KATSINA,CHARANCHI,MAJEN WAYYA,BARAN GIZO PRI. SCHOOL,20-06-04-001,365
1087,KATSINA,CHARANCHI,MAJEN WAYYA,DALLAWA/SAWAI PRI.SCHOOL,20-06-04-002,581
1088,KATSINA,CHARANCHI,MAJEN WAYYA,KEBE NASARAWA PRI.SCHOOL,20-06-04-003,477
1089,KATSINA,CHARANCHI,MAJEN WAYYA,FADUMAWA K/G MAI UNGUWA,20-06-04-004,444
1090,KATSINA,CHARANCHI,MAJEN WAYYA,MAJE EAST HEALTH CENTRE,20-06-04-005,678
1091,KATSINA,CHARANCHI,MAJEN WAYYA,MAJE SOUTH HEALTH CENTRE,20-06-04-006,635
1092,KATSINA,CHARANCHI,MAJEN WAYYA,MAJE WEST I PRI. SCHOOL,20-06-04-007,785
1093,KATSINA,CHARANCHI,MAJEN WAYYA,DALLAWA/DAGAWA K/G MAI UNGUWA,20-06-04-008,727
1094,KATSINA,CHARANCHI,MAJEN WAYYA,MALOLI OPEN SPACE,20-06-04-009,473
1095,KATSINA,CHARANCHI,MAJEN WAYYA,KASKANOKI PRI. SCHOOL,20-06-04-010,833
1096,KATSINA,CHARANCHI,MAJEN WAYYA,SABARU/RUDDUBE K/G MAI UNGUWA,20-06-04-011,575
1097,KATSINA,CHARANCHI,MAJEN WAYYA,MAJE WEST II PRI. SCHOOL,20-06-04-012,467
1098,KATSINA,CHARANCHI,MAJEN WAYYA,MAJE EAST II PRI.SCHOOL,20-06-04-013,827
1099,KATSINA,CHARANCHI,MAJEN WAYYA,FADUMAWA OPEN SPACE,20-06-04-014,376
1100,KATSINA,CHARANCHI,MAJEN WAYYA,GANGARA KOFAR GIDAN M/ UNG,20-06-04-015,85
1101,KATSINA,CHARANCHI,MAJEN WAYYA,DAWAN FARU GIDAN M/UNG,20-06-04-016,00
1102,KATSINA,CHARANCHI,GANUWA,BURTU PRI.SCHOOL,20-06-05-001,586
1103,KATSINA,CHARANCHI,GANUWA,GANUWA NORTH PRI.SCHOOL,20-06-05-002,1237
1104,KATSINA,CHARANCHI,GANUWA,DAWAN GAMJI K/G MAI UNGUWA,20-06-05-003,805
1105,KATSINA,CHARANCHI,GANUWA,DANJAKKA PRI. SCHOOL,20-06-05-004,341
1106,KATSINA,CHARANCHI,GANUWA,DOKAU OPEN SPACE,20-06-05-005,441
1107,KATSINA,CHARANCHI,GANUWA,GAMRAKI K/G MAIUNGUWA,20-06-05-006,369
1108,KATSINA,CHARANCHI,GANUWA,DABGANYA PRI. SCHOOL,20-06-05-007,635
1109,KATSINA,CHARANCHI,GANUWA,DINKAWA PRI.SCHOOL,20-06-05-008,485
1110,KATSINA,CHARANCHI,GANUWA,KOFAR GIDAN MAI GARI,20-06-05-009,48
1111,KATSINA,CHARANCHI,GANUWA,BARGUMA K/GIDAN M/UNG,20-06-05-010,00
1112,KATSINA,CHARANCHI,TSAKATSA,GIDAN BANYE MAI UNGUWA,20-06-06-001,599
1113,KATSINA,CHARANCHI,TSAKATSA,DAFARA K/G MAI UNGUWA,20-06-06-002,687
1114,KATSINA,CHARANCHI,TSAKATSA,RUGA/ KG MAI UNGUWA,20-06-06-003,400
1115,KATSINA,CHARANCHI,TSAKATSA,GARAZAWA K/G MAI UNGUWA,20-06-06-004,482
1116,KATSINA,CHARANCHI,TSAKATSA,TSAKATSA WEST PRI.SCHOOL,20-06-06-005,1169
1117,KATSINA,CHARANCHI,TSAKATSA,GAMDA RUFOGI OPEN SPACE,20-06-06-006,445
1118,KATSINA,CHARANCHI,TSAKATSA,ZANGO K/G MAI UNGUWA,20-06-06-007,551
1119,KATSINA,CHARANCHI,TSAKATSA,K/GIDAN M/ GARI TSAKATSA,20-06-06-008,53
1120,KATSINA,CHARANCHI,KODA,KODA PRI.SCHOOL,20-06-07-001,1430
1121,KATSINA,CHARANCHI,KODA,GIDAN AJIYA G/MAI UNGUWA,20-06-07-002,531
1122,KATSINA,CHARANCHI,KODA,KWANAR YAMMA PRI.SCH.,20-06-07-003,602
1123,KATSINA,CHARANCHI,KODA,SAKE PRI SCHOOL,20-06-07-004,781
1124,KATSINA,CHARANCHI,KODA,KWANAN YAMMA PRI.SCHOOL,20-06-07-005,562
1125,KATSINA,CHARANCHI,KODA,DOKAU G/MAI UNGUWA,20-06-07-006,612
1126,KATSINA,CHARANCHI,KODA,FARIN RUWA PRI.SCHOOL,20-06-07-007,554
1127,KATSINA,CHARANCHI,KODA,"KOFAR GIDAN M/GARI, KODA",20-06-07-008,03
1128,KATSINA,CHARANCHI,KODA,YARA OPEN SPACE,20-06-07-009,05
1129,KATSINA,CHARANCHI,KODA,SAKE KOFAR GIDAN M/UNG,20-06-07-010,00
1130,KATSINA,CHARANCHI,KURAYE,GAWASU K/G MAI UNG.,20-06-08-001,872
1131,KATSINA,CHARANCHI,KURAYE,CHEDIYA II HEALTH CENTRE,20-06-08-002,1097
1132,KATSINA,CHARANCHI,KURAYE,GALADIMA PRI. SCHOOL,20-06-08-003,818
1133,KATSINA,CHARANCHI,KURAYE,GANASU K/G MAI UNGUWA,20-06-08-004,691
1134,KATSINA,CHARANCHI,KURAYE,BAGGA G/MAI UNGUWA,20-06-08-005,75
1135,KATSINA,CHARANCHI,KURAYE,YARAWALA G/MAI UNGUWAR,20-06-08-006,844
1136,KATSINA,CHARANCHI,KURAYE,SAARWAKE G/MAI UNGUWA,20-06-08-007,312
1137,KATSINA,CHARANCHI,KURAYE,RUGAR WAKE PRI.SCHOOL,20-06-08-008,881
1138,KATSINA,CHARANCHI,KURAYE,UNGUWAR LIMAN G/LIMAN,20-06-08-009,1008
1139,KATSINA,CHARANCHI,KURAYE,KWARAWA G/MAI UNGUWA,20-06-08-010,450
1140,KATSINA,CHARANCHI,KURAYE,SAGO G/MAI UNGUWA,20-06-08-011,273
1141,KATSINA,CHARANCHI,KURAYE,YANA PRI. SCHOOL,20-06-08-012,446
1142,KATSINA,CHARANCHI,KURAYE,MARINA WEST HEALTH CENTRE,20-06-08-013,1082
1143,KATSINA,CHARANCHI,KURAYE,KOFAR GIDAN HAKIMI,20-06-08-014,04
1144,KATSINA,CHARANCHI,KURAYE,SABON LAYI DAN-AUJIN,20-06-08-015,18
1145,KATSINA,CHARANCHI,KURAYE,GALADIMAWA,20-06-08-016,38
1146,KATSINA,CHARANCHI,KURAYE,"K/GIDAN M/UNG, BARAU",20-06-08-017,00
1147,KATSINA,CHARANCHI,KURAYE,"RUGAR WAKE, DISPENSARY",20-06-08-018,01
1148,KATSINA,CHARANCHI,KURAYE,KURAYE MODEL PRIMARY SCH,20-06-08-019,46
1149,KATSINA,CHARANCHI,KURAYE,"K/GIDAN M/UNG, SHUAIBU",20-06-08-020,02
1150,KATSINA,CHARANCHI,BANYE,BANYE A PRI.SCHOOL,20-06-09-001,1065
1151,KATSINA,CHARANCHI,BANYE,YANUKU I G/MAI UNGUWA,20-06-09-002,491
1152,KATSINA,CHARANCHI,BANYE,SANAME K/G MAI UNGUWA,20-06-09-003,525
1153,KATSINA,CHARANCHI,BANYE,YANUKU II GIDAN LIMAN,20-06-09-004,584
1154,KATSINA,CHARANCHI,BANYE,KAGADAMA K/MAI UNGUWA,20-06-09-005,462
1155,KATSINA,CHARANCHI,BANYE,BANYE 'B' HEALTH CENTRE,20-06-09-006,547
1156,KATSINA,CHARANCHI,BANYE,SALGORIYO OPEN SPACE,20-06-09-007,583
1157,KATSINA,CHARANCHI,BANYE,SARGOLIO OPEN SPACE,20-06-09-008,415
1158,KATSINA,CHARANCHI,BANYE,YANUKU OPEN SPACE,20-06-09-009,369
1159,KATSINA,CHARANCHI,BANYE,NASARAWA K/GIDAN M/UNG,20-06-09-010,00
1160,KATSINA,CHARANCHI,DOKA,KUNATAU K/G MAI UNGUWA,20-06-10-001,369
1161,KATSINA,CHARANCHI,DOKA,DAMBUNA PRI.SCHOOL,20-06-10-002,851
1162,KATSINA,CHARANCHI,DOKA,WAJJE GIDAN LIMAN,20-06-10-003,315
1163,KATSINA,CHARANCHI,DOKA,DOKAR GAMJI K/G MAI UNGUWA,20-06-10-004,396
1164,KATSINA,CHARANCHI,DOKA,SAKO G/MAI UNGUWA,20-06-10-005,423
1165,KATSINA,CHARANCHI,DOKA,DOKA PRI.SCHOOL,20-06-10-006,1051
1166,KATSINA,CHARANCHI,DOKA,MARKE/KUNATAU OPEN SPACE,20-06-10-007,597
1167,KATSINA,CHARANCHI,DOKA,JEWA YELWA K/G MAI UNGUWA,20-06-10-008,766
1168,KATSINA,CHARANCHI,DOKA,DANBUNA DISPENSARY,20-06-10-009,13
1169,KATSINA,CHARANCHI,DOKA,DOKA HEALTH CENTER,20-06-10-010,55
1170,KATSINA,DANDUME,MAHUTA A,MAHUTA YAMMA/KOFAR GIDAN M/UNG,20-07-01-001,502
1171,KATSINA,DANDUME,MAHUTA A,MAHUTA B/T.V CENTRE,20-07-01-002,915
1172,KATSINA,DANDUME,MAHUTA A,"MAHUTA YAMMA C,/K/G. DAN-AZUMI",20-07-01-003,728
1173,KATSINA,DANDUME,MAHUTA A,MAHUTA KUDU/ISLAMIYYA,20-07-01-004,872
1174,KATSINA,DANDUME,MAHUTA A,UNG.ALH. SANI TELA/PRI SCHOOL,20-07-01-005,550
1175,KATSINA,DANDUME,MAHUTA A,KAURAN FAWA/KG. M//UNG,20-07-01-006,539
1176,KATSINA,DANDUME,MAHUTA A,KAURAN FAWA B/K/G. DAN-KANO,20-07-01-007,227
1177,KATSINA,DANDUME,MAHUTA A,UNG.JIKA/K/G. M/UNG,20-07-01-008,426
1178,KATSINA,DANDUME,MAHUTA A,UNG.SARKIN RAFI/K/G M/UNG TAMBAYA,20-07-01-009,479
1179,KATSINA,DANDUME,MAHUTA A,UNG. LIMA/K/G. MAL BABBA,20-07-01-010,751
1180,KATSINA,DANDUME,MAHUTA A,GYAZAMA/K/G. ALH.SADI,20-07-01-011,457
1181,KATSINA,DANDUME,MAHUTA A,LAYIN MAHAUTA/K/G. M/UNG,20-07-01-012,566
1182,KATSINA,DANDUME,MAHUTA A,KOFAR GIDAN SALISU KANKAN,20-07-01-013,03
1183,KATSINA,DANDUME,MAHUTA A,KOFAR GIDAN ALH ABDU YARO,20-07-01-014,10
1184,KATSINA,DANDUME,MAHUTA B,MAHUTA AREWA/KOFAR GIDAN ZAYYANA,20-07-02-001,534
1185,KATSINA,DANDUME,MAHUTA B,MARINAI/MAHUTA PRI.SCHOOL,20-07-02-002,1163
1186,KATSINA,DANDUME,MAHUTA B,GWAI GWAYE/GWAIGWAYEN LIMAN,20-07-02-003,461
1187,KATSINA,DANDUME,MAHUTA B,UNG BABAN AUFU/K/G M/UNG,20-07-02-004,395
1188,KATSINA,DANDUME,MAHUTA B,UNG. DAN. ATIKU/K/G M/UNG,20-07-02-005,442
1189,KATSINA,DANDUME,MAHUTA B,UNG. AL-KASIM/K/G M/UNG,20-07-02-006,464
1190,KATSINA,DANDUME,MAHUTA B,LAYIN NEPA/K/G. SALISU NEPA,20-07-02-007,630
1191,KATSINA,DANDUME,MAHUTA B,ZAGAMAWA/KOFAR LIMA,20-07-02-008,425
1192,KATSINA,DANDUME,MAHUTA B,KALIYAWA/K/G ALH. UMMARU,20-07-02-009,321
1193,KATSINA,DANDUME,MAHUTA B,LAYIN ALH. BALA K/G ALH. BALA,20-07-02-010,798
1194,KATSINA,DANDUME,MAHUTA B,KOFAR GIDAN SARKIN ASKA,20-07-02-011,00
1195,KATSINA,DANDUME,MAHUTA B,KOFAR GIDAN LAWAL BALA,20-07-02-012,04
1196,KATSINA,DANDUME,MAHUTA C,DOGON KAWU/K/G. DAN-GAGA,20-07-03-001,595
1197,KATSINA,DANDUME,MAHUTA C,UNG. DAN-KUDAN/K/G ALH.SANI ALAMARA,20-07-03-002,773
1198,KATSINA,DANDUME,MAHUTA C,UNG.DAN-KUDAN/K/G M.UNG,20-07-03-003,963
1199,KATSINA,DANDUME,MAHUTA C,MAI TSATTSALA/K/G. MAI-BAKA,20-07-03-004,415
1200,KATSINA,DANDUME,MAHUTA C,DAN DARAU/PRI.SCHOOL,20-07-03-005,395
1201,KATSINA,DANDUME,MAHUTA C,UNG. MAI-GAYYA/K/G. M/UNG,20-07-03-006,364
1202,KATSINA,DANDUME,MAHUTA C,UNG SARKIN RAFI B/KATOGE,20-07-03-007,555
1203,KATSINA,DANDUME,MAHUTA C,UNG SAKO/PRI.SCHOOL,20-07-03-008,459
1204,KATSINA,DANDUME,MAHUTA C,UNG. ZANGO/K/G. M. ABDU,20-07-03-009,347
1205,KATSINA,DANDUME,MAHUTA C,UNG. NUHU K/G. LIMAN SANI,20-07-03-010,390
1206,KATSINA,DANDUME,MAHUTA C,KOFAR GIDAN ABDU GYADU,20-07-03-011,03
1207,KATSINA,DANDUME,MAHUTA C,KOFAR GIDAN MALLAM HAYYATU,20-07-03-012,07
1208,KATSINA,DANDUME,DANDUME A,SAYYADI/DISPENSARY,20-07-04-001,1193
1209,KATSINA,DANDUME,DANDUME A,SAYYADI B/K/G/UNG,20-07-04-002,1259
1210,KATSINA,DANDUME,DANDUME A,UNG. ABASAWA/K/G. M/UNG,20-07-04-003,1546
1211,KATSINA,DANDUME,DANDUME A,DAN SARKI/K/G. ALH. IBRAHIM N.GODO,20-07-04-004,1260
1212,KATSINA,DANDUME,DANDUME A,IDI KOLA/K/G M/UNG,20-07-04-005,1760
1213,KATSINA,DANDUME,DANDUME A,MAKAMA I PRI.SCHOOL,20-07-04-006,999
1214,KATSINA,DANDUME,DANDUME A,KASIMU/K/G. KASIMU,20-07-04-007,1690
1215,KATSINA,DANDUME,DANDUME A,KASIM B/TSOHON GIDAN ALH.YUSUF,20-07-04-008,1273
1216,KATSINA,DANDUME,DANDUME A,UNG. SHUGABA 'B' K/G IDI DAN-ETA,20-07-04-009,2602
1217,KATSINA,DANDUME,DANDUME A,UNG. SHUGABA II K/G. SHUGABA,20-07-04-010,1664
1218,KATSINA,DANDUME,DANDUME A,UNG.ANGO/K/G. M/UNG,20-07-04-011,1649
1219,KATSINA,DANDUME,DANDUME A,LAYIN SHEHI/K/G SHEHI,20-07-04-012,1447
1220,KATSINA,DANDUME,DANDUME A,MAKAMA II/MODEL PRI. SCHOOL,20-07-04-013,1370
1221,KATSINA,DANDUME,DANDUME A,UNG. SHUGABA II/K/G. M/UNG,20-07-04-014,1063
1222,KATSINA,DANDUME,DANDUME A,KASUWAR MATA,20-07-04-015,22
1223,KATSINA,DANDUME,DANDUME A,KOFAR GIDAN MAI HODU,20-07-04-016,64
1224,KATSINA,DANDUME,DANDUME A,ABASAWA ISLAMIYYA,20-07-04-017,32
1225,KATSINA,DANDUME,DANDUME A,ABASAWA KOFAR GIDAN ALH. GARBA RAYYAN,20-07-04-018,68
1226,KATSINA,DANDUME,DANDUME A,K/G ALH. HASSAN,20-07-04-019,08
1227,KATSINA,DANDUME,DANDUME A,KOFAR GIDAN IDI GAS,20-07-04-020,39
1228,KATSINA,DANDUME,DANDUME A,RIJIYAR KWABO,20-07-04-021,69
1229,KATSINA,DANDUME,DANDUME A,MAKAMA PRI. SCHOOL GINDIN KUKA,20-07-04-022,44
1230,KATSINA,DANDUME,DANDUME A,K/G ALH. AUDU DAN YARO,20-07-04-023,26
1231,KATSINA,DANDUME,DANDUME A,K/G. ALH. MUSA MAI ASABARI,20-07-04-024,74
1232,KATSINA,DANDUME,DANDUME A,KOFAR GIDAN DAN BAFFA.,20-07-04-025,83
1233,KATSINA,DANDUME,DANDUME A,K/G. ADO GIRAZA,20-07-04-026,02
1234,KATSINA,DANDUME,DANDUME A,K/G ADO DAN GADE,20-07-04-027,03
1235,KATSINA,DANDUME,DANDUME A,K/G ADO ALH. HABIBU DAN WANKA,20-07-04-028,01
1236,KATSINA,DANDUME,DANDUME A,K/G. ISIYAKU DAN ALMAJIRI,20-07-04-029,191
1237,KATSINA,DANDUME,DANDUME A,FILIN PROJECT,20-07-04-030,24
1238,KATSINA,DANDUME,DANDUME A,K/G ALH. MURTALA AMD,20-07-04-031,01
1239,KATSINA,DANDUME,DANDUME A,K/G ALH. ZUBAIRU GURGU,20-07-04-032,07
1240,KATSINA,DANDUME,DANDUME A,K/G ABDULRAZAKU,20-07-04-033,00
1241,KATSINA,DANDUME,DANDUME A,MAKARANTAR SHEHI,20-07-04-034,12
1242,KATSINA,DANDUME,DANDUME A,K/G MAI UNGUWAN,20-07-04-035,02
1243,KATSINA,DANDUME,DANDUME A,MAKAMA II MODEL PRI.SCHOOL 'A',20-07-04-036,19
1244,KATSINA,DANDUME,DANDUME A,MAKAMA II MODEL PRI.SCHOOL 'B',20-07-04-037,09
1245,KATSINA,DANDUME,DANDUME A,AREWA PRI. SCHOOL,20-07-04-038,140
1246,KATSINA,DANDUME,DANDUME B,UNG.KANDAMBA/K/G. M/UNG,20-07-05-001,399
1247,KATSINA,DANDUME,DANDUME B,UNG AYUBA/K/G M/UNG,20-07-05-002,564
1248,KATSINA,DANDUME,DANDUME B,UNG. ALH. HANAU/K/G ALH. HANAU,20-07-05-003,552
1249,KATSINA,DANDUME,DANDUME B,BANGO/ZARI/K/G. M/UNG,20-07-05-004,477
1250,KATSINA,DANDUME,DANDUME B,UNG. ABUBAKAR/K/G M/UNG,20-07-05-005,518
1251,KATSINA,DANDUME,DANDUME B,UNG. MATO/K/G. MATO,20-07-05-006,645
1252,KATSINA,DANDUME,DANDUME B,"UNG. UMARU/K/G SA,IDU DAN-KIRKI",20-07-05-007,320
1253,KATSINA,DANDUME,DANDUME B,UNG. DARE/K/G M/UNG,20-07-05-008,2230
1254,KATSINA,DANDUME,DANDUME B,UNG.HANAU/K/G. M/UNG,20-07-05-009,368
1255,KATSINA,DANDUME,DANDUME B,JIRUWA/K/G. M/UNG,20-07-05-010,926
1256,KATSINA,DANDUME,DANDUME B,UNG. BAGUDU/K/G M/UNG,20-07-05-011,438
1257,KATSINA,DANDUME,DANDUME B,SABUWAR UNG/K/G M/UNG,20-07-05-012,519
1258,KATSINA,DANDUME,DANDUME B,MARE PRI. SCHOOL,20-07-05-013,53
1259,KATSINA,DANDUME,DANDUME B,K/G M/UNG. SULE TUDUN ALI,20-07-05-014,513
1260,KATSINA,DANDUME,DANDUME B,K/G M/UNG. DAN JARI,20-07-05-015,35
1261,KATSINA,DANDUME,DANDUME B,GOVT. DAY SEC. SCH. JIRUWA,20-07-05-016,05
1262,KATSINA,DANDUME,TUMBURKAI A,KAURAN KATUKA GARI I/PRI.SCHOOL,20-07-06-001,992
1263,KATSINA,DANDUME,TUMBURKAI A,KAURAN KATUKA TSAKIYA/SABON GIDA,20-07-06-002,484
1264,KATSINA,DANDUME,TUMBURKAI A,TUMBURKAI GARI/PRI.SCHOOL,20-07-06-003,1279
1265,KATSINA,DANDUME,TUMBURKAI A,TUMBURKAI KOFAR SHANTALI/KOFAR SHANTALI,20-07-06-004,575
1266,KATSINA,DANDUME,TUMBURKAI A,TUMBURKAI YAMMA/ALLAH NA NAN,20-07-06-005,409
1267,KATSINA,DANDUME,TUMBURKAI A,TUMBURKAI AREWA/UNG. AUDI,20-07-06-006,417
1268,KATSINA,DANDUME,TUMBURKAI A,TUMBURKAI KUDU/UNG. WAZIRI,20-07-06-007,587
1269,KATSINA,DANDUME,TUMBURKAI A,KUMUJI/K/G. M/UNG,20-07-06-008,430
1270,KATSINA,DANDUME,TUMBURKAI A,BADON BAWA/K/G. M/UNG,20-07-06-009,696
1271,KATSINA,DANDUME,TUMBURKAI A,UNG. KATO/DUTSI/K/G ALH.BALA,20-07-06-010,506
1272,KATSINA,DANDUME,TUMBURKAI A,KAURAN KATUKA GARI II/PRI.SCHOOL,20-07-06-011,710
1273,KATSINA,DANDUME,TUMBURKAI A,K/G FULANI,20-07-06-012,00
1274,KATSINA,DANDUME,TUMBURKAI A,TUMBURKAI GARI 'B' PRI. SCH,20-07-06-013,01
1275,KATSINA,DANDUME,TUMBURKAI A,"UNGUWAR INDA, K/G M/UNG NUHU",20-07-06-014,01
1276,KATSINA,DANDUME,TUMBURKAI B,YAKURUTU/LAYIN KADANYA,20-07-07-001,773
1277,KATSINA,DANDUME,TUMBURKAI B,YAKURUTU/BARAJE PRI.SCHOOL,20-07-07-002,805
1278,KATSINA,DANDUME,TUMBURKAI B,JIDADI/K/G M/UNG,20-07-07-003,672
1279,KATSINA,DANDUME,TUMBURKAI B,BARKAN HABE K/G M/UNG,20-07-07-004,632
1280,KATSINA,DANDUME,TUMBURKAI B,UNG.ILU DAN.SALLAU/TSAKIYAR GARI,20-07-07-005,616
1281,KATSINA,DANDUME,TUMBURKAI B,GANWAI ALASAN/K/G M/UNG,20-07-07-006,496
